order_id,product_name,sku,category,quantity,unit_price,status,order_date,customer_region,notes
ORD-1001,USB-C 7-in-1 Hub,UCH-7001,Electronics,2,49.99,delivered,2024-01-15,North,
ORD-1002,Wireless Mechanical Keyboard,WMK-2200,Electronics,1,89.99,shipped,2024-02-10,West,
ORD-1003,USB-A to USB-C Cable 2m,CAB-1100,Accessories,5,12.99,delivered,2024-01-05,East,
ORD-1004,Laptop Stand Adjustable,LSA-3300,Accessories,-1,34.99,pending,2024-03-12,South,data entry error — review required
ORD-1042,USB-C 7-in-1 Hub,UCH-7001,Electronics,1,49.99,returned,2024-04-20,International,"return initiated — carrier damage, TKT-4421"
ORD-1006,Wireless Mechanical Keyboard,WMK-2200,Electronics,1,89.99,delivered,2024-03-22,North,
ORD-1007,USB-A to USB-C Cable 2m,CAB-1100,Accessories,3,12.99,pending,2024-05-14,West,
ORD-1008,Laptop Stand Adjustable,LSA-3300,Accessories,2,34.99,delivered,2024-02-18,East,
ORD-1009,USB-C 7-in-1 Hub,UCH-7001,Electronics,4,49.99,shipped,2024-06-01,South,expedited shipping requested
ORD-1078,Wireless Mechanical Keyboard,WMK-2200,Electronics,1,89.99,returned,2024-01-29,International,"return initiated — missing item, TKT-4489"
ORD-1011,USB-A to USB-C Cable 2m,CAB-1100,Accessories,2,12.99,delivered,2024-03-05,International,
ORD-1012,Laptop Stand Adjustable,LSA-3300,Accessories,1,34.99,shipped,2024-04-11,North,
ORD-1013,USB-C 7-in-1 Hub,UCH-7001,Electronics,3,49.99,delivered,2024-02-28,West,
ORD-1014,Wireless Mechanical Keyboard,WMK-2200,Electronics,2,89.99,pending,2024-06-15,East,
ORD-1015,USB-A to USB-C Cable 2m,CAB-1100,Accessories,-1,12.99,pending,2024-05-20,South,data entry error — review required
ORD-1016,Laptop Stand Adjustable,LSA-3300,Accessories,1,34.99,delivered,2024-01-18,International,
ORD-1017,USB-C 7-in-1 Hub,UCH-7001,Electronics,1,49.99,shipped,2024-03-30,North,
ORD-1018,Wireless Mechanical Keyboard,WMK-2200,Electronics,3,89.99,delivered,2024-04-05,West,expedited shipping requested
ORD-1019,USB-A to USB-C Cable 2m,CAB-1100,Accessories,4,12.99,shipped,2024-02-22,East,
ORD-1103,USB-C 7-in-1 Hub,UCH-7001,Electronics,1,49.99,returned,2024-04-18,International,"return initiated — compatibility, TKT-4601"
ORD-1021,USB-C 7-in-1 Hub,UCH-7001,Electronics,2,49.99,delivered,2024-05-02,International,
ORD-1022,Wireless Mechanical Keyboard,WMK-2200,Electronics,1,89.99,shipped,2024-01-25,North,
ORD-1023,USB-A to USB-C Cable 2m,CAB-1100,Accessories,1,12.99,delivered,2024-03-14,West,
ORD-1024,Laptop Stand Adjustable,LSA-3300,Accessories,3,34.99,pending,2024-04-28,East,
ORD-1025,USB-C 7-in-1 Hub,UCH-7001,Electronics,1,49.99,delivered,2024-06-25,South,
ORD-1026,Wireless Mechanical Keyboard,WMK-2200,Electronics,1,89.99,returned,2024-02-04,North,return initiated
ORD-1027,USB-A to USB-C Cable 2m,CAB-1100,Accessories,2,12.99,shipped,2024-03-08,West,
ORD-1028,Laptop Stand Adjustable,LSA-3300,Accessories,1,34.99,delivered,2024-05-18,East,
ORD-1029,USB-C 7-in-1 Hub,UCH-7001,Electronics,3,49.99,pending,2024-01-30,South,
ORD-1030,Wireless Mechanical Keyboard,WMK-2200,Electronics,2,89.99,delivered,2024-04-14,International,
ORD-1031,USB-A to USB-C Cable 2m,CAB-1100,Accessories,1,12.99,shipped,2024-06-28,North,
ORD-1032,Laptop Stand Adjustable,LSA-3300,Accessories,4,34.99,delivered,2024-02-25,West,
ORD-1033,USB-C 7-in-1 Hub,UCH-7001,Electronics,2,49.99,shipped,2024-03-17,East,
ORD-1034,Wireless Mechanical Keyboard,WMK-2200,Electronics,1,89.99,delivered,2024-05-22,South,
ORD-1035,USB-A to USB-C Cable 2m,CAB-1100,Accessories,5,12.99,pending,2024-01-10,International,
ORD-1036,Laptop Stand Adjustable,LSA-3300,Accessories,2,34.99,shipped,2024-04-02,North,
ORD-1037,USB-C 7-in-1 Hub,UCH-7001,Electronics,1,49.99,delivered,2024-06-18,West,
ORD-1038,Wireless Mechanical Keyboard,WMK-2200,Electronics,2,89.99,shipped,2024-05-30,East,expedited shipping requested
ORD-1039,USB-A to USB-C Cable 2m,CAB-1100,Accessories,3,12.99,shipped,2024-02-14,South,
ORD-1040,Laptop Stand Adjustable,LSA-3300,Accessories,1,34.99,pending,2024-03-01,International,
